Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,183.750000,187.000000,182.600006,184.649994,179.714600,2918777
2019-01-03,185.649994,186.000000,183.199997,183.899994,178.984634,1923498
2019-01-04,184.550003,190.250000,181.500000,189.500000,184.434967,4487621
2019-01-07,194.250000,194.250000,185.800003,186.949997,181.953110,4132250
2019-01-08,188.000000,193.199997,185.000000,192.300003,187.160126,3799139
2019-01-09,193.750000,193.949997,181.550003,186.399994,181.417816,6069275
2019-01-10,188.000000,191.000000,184.399994,186.699997,181.709793,3795189
2019-01-11,188.399994,190.000000,182.899994,183.949997,179.033310,3642798
2019-01-14,185.100006,198.000000,182.399994,195.399994,190.177261,8281879
2019-01-15,196.399994,205.000000,196.050003,202.949997,197.525452,6278204
2019-01-16,204.550003,209.149994,203.600006,208.350006,202.781128,4749698
2019-01-17,209.699997,210.000000,200.399994,201.449997,196.065552,5551798
2019-01-18,202.050003,203.000000,196.449997,198.250000,192.951080,3973738
2019-01-21,199.000000,204.000000,191.100006,192.100006,186.965469,3516908
2019-01-22,191.899994,193.899994,187.500000,192.100006,186.965469,4039596
2019-01-23,194.800003,199.449997,193.600006,197.300003,192.026489,3782064
2019-01-24,198.800003,234.899994,189.100006,213.850006,208.134140,11803504
2019-01-25,224.500000,236.300003,218.100006,219.649994,213.779083,14527540
2019-01-28,222.000000,223.199997,206.000000,207.649994,202.099823,5126005
2019-01-29,207.199997,209.399994,195.850006,202.600006,197.184814,6449840
2019-01-30,210.000000,213.550003,198.500000,199.399994,194.070343,5905395
2019-01-31,202.000000,203.500000,190.350006,194.300003,189.106659,5224745
2019-02-01,197.000000,197.000000,181.500000,185.649994,180.687866,6748777
2019-02-04,185.600006,185.600006,175.449997,179.899994,175.091553,5012988
2019-02-05,179.899994,183.500000,174.750000,175.800003,171.101151,4953755
2019-02-06,178.000000,179.899994,172.600006,176.300003,171.587784,4860263
2019-02-07,177.300003,181.850006,175.350006,176.750000,172.025742,4214221
2019-02-08,177.000000,178.500000,173.300003,174.800003,170.127869,3017527
2019-02-11,175.750000,176.500000,170.100006,172.750000,168.132660,3399864
2019-02-12,173.699997,176.100006,171.750000,172.350006,167.743347,2347559
2019-02-14,185.949997,223.699997,185.949997,221.000000,215.093002,19498115
2019-02-15,226.500000,226.500000,211.500000,218.699997,212.854492,11175022
2019-02-18,201.550003,216.500000,201.000000,213.149994,207.452835,6393616
2019-02-19,215.000000,217.949997,211.300003,212.449997,206.771545,2511357
2019-02-20,216.800003,219.800003,213.250000,217.899994,212.075867,3509449
2019-02-21,219.000000,219.100006,214.199997,215.000000,209.253387,2109252
2019-02-22,214.899994,223.500000,213.399994,221.949997,216.017624,4373798
2019-02-25,223.250000,230.649994,221.300003,229.149994,223.025177,4118589
2019-02-26,223.699997,234.399994,220.100006,229.600006,223.463150,6786540
2019-02-27,233.000000,236.899994,223.699997,228.100006,222.003250,7184663
2019-02-28,229.850006,232.699997,227.000000,231.199997,225.020386,3007930
2019-03-01,234.600006,238.350006,234.500000,237.399994,231.054657,3542926
2019-03-05,236.699997,240.649994,234.250000,237.300003,230.957352,2612405
2019-03-06,238.000000,240.649994,233.149994,235.250000,228.962128,2054424
2019-03-07,236.000000,236.000000,228.800003,231.800003,225.604340,1876789
